Politischer Bezirk;Eheschließungen;Ehescheidungen
ÖSTERREICH;45 855;14 721
BURGENLAND;1 436;460
Eisenstadt (Stadt);85;32
Rust (Stadt);8;3
Eisenstadt-Umgebung;215;74
Güssing;119;27
Jennersdorf;89;21
Mattersburg;222;78
Neusiedl am See;273;94
Oberpullendorf;155;59
Oberwart;270;72
KÄRNTEN;2 786;1 031
Klagenfurt (Stadt);542;217
Villach (Stadt);357;126
Feldkirchen;133;40
Hermagor;91;23
Klagenfurt Land;315;124
Sankt Veit an der Glan;256;118
Spittal an der Drau;337;108
Villach Land;320;120
Völkermarkt;176;74
Wolfsberg;259;81
NIEDERÖSTERREICH;8 650;2 847
Krems an der Donau (Stadt);112;41
Sankt Pölten (Stadt);273;115
Waidhofen an der Ybbs (Stadt);54;18
Wiener Neustadt (Stadt);235;105
Amstetten;630;152
Baden;744;285
Bruck an der Leitha;570;217
Gänserndorf;565;174
Gmünd;145;38
Hollabrunn;253;65
Horn;155;48
Korneuburg;446;133
Krems (Land);278;70
Lilienfeld;135;43
Melk;389;136
Mistelbach;370;132
Mödling;601;228
Neunkirchen;477;160
Sankt Pölten (Land);700;227
Scheibbs;206;58
Tulln;573;177
Waidhofen an der Thaya;104;49
Wiener Neustadt (Land);446;132
Zwettl;189;44
OBERÖSTERREICH;7 906;2 332
Stadt Linz ;1 087;399
Stadt Steyr ;175;79
Stadt Wels;376;127
Braunau ;564;147
Eferding;168;35
Freistadt;375;82
Gmunden;501;155
Grieskirchen;336;102
Kirchdorf ;285;84
Linz-Land;845;233
Perg;347;96
Ried ;343;84
Rohrbach;257;64
Schärding;311;87
Steyr-Land;328;105
Urfahr-Umgebung;438;124
Vöcklabruck;743;212
Wels-Land;427;117
SALZBURG;2 966;877
Salzburg (Stadt);783;281
Hallein;307;93
Salzburg-Umgebung;896;228
Sankt Johann im Pongau;417;109
Tamsweg;83;19
Zell am See;480;147
STEIERMARK;6 351;1 902
Graz (Stadt);1 584;452
Bruck-Mürzzuschlag;453;129
Deutschlandsberg;316;91
Graz-Umgebung;864;255
Hartberg-Fürstenfeld;472;114
Leibnitz;459;142
Leoben;268;121
Liezen;402;100
Murau;106;37
Murtal;334;98
Südoststeiermark;388;108
Voitsberg;261;93
Weiz;444;162
TIROL;4 174;1 109
Innsbruck-Stadt;629;220
Imst;325;98
Innsbruck-Land;1 137;281
Kitzbühel;341;73
Kufstein;648;168
Landeck;220;46
Lienz;229;49
Reutte;175;45
Schwaz;470;129
VORARLBERG;2 215;723
Bludenz;338;100
Bregenz;704;242
Dornbirn;538;174
Feldkirch;635;207
WIEN;9 371;3 440
Wien 1., Innere Stadt;92;26
Wien 2., Leopoldstadt;506;160
Wien 3., Landstraße;441;159
Wien 4., Wieden;129;50
Wien 5., Margareten;279;74
Wien 6., Mariahilf;158;49
Wien 7., Neubau;166;37
Wien 8., Josefstadt;121;32
Wien 9., Alsergrund;211;66
Wien 10., Favoriten;999;468
Wien 11., Simmering;486;226
Wien 12., Meidling;459;188
Wien 13., Hietzing;270;101
Wien 14., Penzing;470;153
Wien 15., Rudolfsheim-Fünfhaus;303;133
Wien 16., Ottakring;478;178
Wien 17., Hernals;252;87
Wien 18., Währing;247;67
Wien 19., Döbling;340;104
Wien 20., Brigittenau;377;125
Wien 21., Floridsdorf;888;360
Wien 22., Donaustadt;1 144;370
Wien 23., Liesing;555;227
