Politischer Bezirk;Eheschließungen;Ehescheidungen
ÖSTERREICH;5,0;1,6
BURGENLAND;4,8;1,5
Eisenstadt (Stadt);5,4;2,0
Rust (Stadt);4,1;1,5
Eisenstadt-Umgebung;4,8;1,7
Güssing;4,6;1,0
Jennersdorf;5,2;1,2
Mattersburg;5,4;1,9
Neusiedl am See;4,4;1,5
Oberpullendorf;4,1;1,6
Oberwart;4,9;1,3
KÄRNTEN;4,9;1,8
Klagenfurt (Stadt);5,2;2,1
Villach (Stadt);5,5;1,9
Feldkirchen;4,4;1,3
Hermagor;5,0;1,3
Klagenfurt Land;5,1;2,0
Sankt Veit an der Glan;4,7;2,2
Spittal an der Drau;4,5;1,4
Villach Land;4,9;1,8
Völkermarkt;4,2;1,8
Wolfsberg;5,0;1,6
NIEDERÖSTERREICH;5,0;1,7
Krems an der Donau (Stadt);4,4;1,6
Sankt Pölten (Stadt);4,7;2,0
Waidhofen an der Ybbs (Stadt);4,9;1,6
Wiener Neustadt (Stadt);4,9;2,2
Amstetten;5,3;1,3
Baden;5,0;1,9
Bruck an der Leitha;5,2;2,0
Gänserndorf;5,2;1,6
Gmünd;4,0;1,1
Hollabrunn;4,9;1,2
Horn;5,0;1,5
Korneuburg;4,8;1,4
Krems (Land);4,9;1,2
Lilienfeld;5,3;1,7
Melk;4,9;1,7
Mistelbach;4,8;1,7
Mödling;5,0;1,9
Neunkirchen;5,5;1,8
Sankt Pölten (Land);5,2;1,7
Scheibbs;4,9;1,4
Tulln;5,2;1,6
Waidhofen an der Thaya;4,1;1,9
Wiener Neustadt (Land);5,5;1,6
Zwettl;4,5;1,1
OBERÖSTERREICH;5,2;1,5
Stadt Linz ;5,2;1,9
Stadt Steyr ;4,6;2,1
Stadt Wels;5,8;2,0
Braunau ;5,1;1,3
Eferding;5,0;1,0
Freistadt;5,5;1,2
Gmunden;4,9;1,5
Grieskirchen;5,1;1,5
Kirchdorf ;4,9;1,4
Linz-Land;5,4;1,5
Perg;4,9;1,4
Ried ;5,4;1,3
Rohrbach;4,5;1,1
Schärding;5,3;1,5
Steyr-Land;5,3;1,7
Urfahr-Umgebung;5,0;1,4
Vöcklabruck;5,3;1,5
Wels-Land;5,6;1,5
SALZBURG;5,2;1,5
Salzburg (Stadt);5,0;1,8
Hallein;5,0;1,5
Salzburg-Umgebung;5,7;1,4
Sankt Johann im Pongau;5,0;1,3
Tamsweg;4,1;0,9
Zell am See;5,3;1,6
STEIERMARK;5,0;1,5
Graz (Stadt);5,3;1,5
Bruck-Mürzzuschlag;4,6;1,3
Deutschlandsberg;5,2;1,5
Graz-Umgebung;5,3;1,6
Hartberg-Fürstenfeld;5,2;1,3
Leibnitz;5,3;1,6
Leoben;4,5;2,0
Liezen;5,0;1,3
Murau;3,9;1,4
Murtal;4,7;1,4
Südoststeiermark;4,6;1,3
Voitsberg;5,1;1,8
Weiz;4,8;1,8
TIROL;5,4;1,4
Innsbruck-Stadt;4,8;1,7
Imst;5,2;1,6
Innsbruck-Land;6,1;1,5
Kitzbühel;5,2;1,1
Kufstein;5,7;1,5
Landeck;4,9;1,0
Lienz;4,7;1,0
Reutte;5,2;1,3
Schwaz;5,4;1,5
VORARLBERG;5,4;1,8
Bludenz;5,1;1,5
Bregenz;5,1;1,8
Dornbirn;5,8;1,9
Feldkirch;5,7;1,8
WIEN;4,7;1,7
Wien 1., Innere Stadt;5,5;1,6
Wien 2., Leopoldstadt;4,6;1,5
Wien 3., Landstraße;4,5;1,6
Wien 4., Wieden;3,9;1,5
Wien 5., Margareten;5,1;1,4
Wien 6., Mariahilf;5,0;1,6
Wien 7., Neubau;5,3;1,2
Wien 8., Josefstadt;4,9;1,3
Wien 9., Alsergrund;5,0;1,6
Wien 10., Favoriten;4,6;2,1
Wien 11., Simmering;4,4;2,1
Wien 12., Meidling;4,5;1,9
Wien 13., Hietzing;4,9;1,8
Wien 14., Penzing;4,8;1,6
Wien 15., Rudolfsheim-Fünfhaus;4,0;1,7
Wien 16., Ottakring;4,7;1,7
Wien 17., Hernals;4,5;1,5
Wien 18., Währing;4,8;1,3
Wien 19., Döbling;4,5;1,4
Wien 20., Brigittenau;4,4;1,4
Wien 21., Floridsdorf;4,8;1,9
Wien 22., Donaustadt;5,3;1,7
Wien 23., Liesing;4,6;1,9
