Jahr;Österreich;Burgenland;Kärnten;Niederösterreich;Oberösterreich;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
1995;18 204;414;1 088;3 420;2 429;979;2 354;1 032;787;5 701
1996;18 079;434;1 105;3 371;2 522;1 011;2 487;1 077;777;5 295
1997;18 027;451;1 051;3 375;2 572;977;2 484;1 162;826;5 129
1998;17 884;374;1 032;3 429;2 439;1 047;2 409;1 164;815;5 175
1999;18 512;461;1 125;3 545;2 405;1 040;2 485;1 155;827;5 469
2000;19 552;551;1 070;3 818;2 622;1 154;2 567;1 250;849;5 671
2001;20 582;588;1 199;4 039;2 761;1 124;2 682;1 326;991;5 872
2002;19 918;558;1 176;4 000;2 752;1 115;2 722;1 285;841;5 469
2003;19 066;500;1 087;3 788;2 710;1 214;2 419;1 260;851;5 237
2004;19 590;535;997;3 781;2 793;1 104;2 565;1 246;775;5 794
2005;19 453;558;998;3 652;2 665;1 057;2 516;1 127;769;6 111
2006;20 336;605;1 111;3 827;2 707;1 105;2 490;1 237;808;6 446
2007;20 516;513;1 089;3 798;2 801;1 148;2 822;1 237;812;6 296
2008;19 701;556;1 136;3 863;2 678;1 055;2 616;1 223;822;5 752
2009;18 806;539;1 080;3 736;2 667;1 053;2 580;1 234;807;5 110
2010;17 442;523;989;3 590;2 454;969;2 292;1 227;808;4 590
2011;17 295;504;1 006;3 560;2 439;929;2 373;1 215;736;4 533
2012;17 006;541;989;3 424;2 522;971;2 199;1 156;712;4 492
2013;15 958;502;869;3 280;2 346;944;2 108;1 089;691;4 129
2014;16 647;505;986;3 300;2 491;877;2 226;1 131;687;4 444
2015;16 351;520;920;3 531;2 372;911;2 113;1 151;664;4 169
2016;15 919;534;900;3 242;2 345;912;2 030;1 181;650;4 125
2017;16 180;527;950;3 241;2 522;919;2 019;1 134;714;4 154
2018;16 304;499;946;3 345;2 470;907;2 124;1 159;724;4 130
2019;16 319;521;1 023;3 337;2 542;966;2 093;1 139;751;3 947
2020;14 870;472;947;3 085;2 307;906;2 005;1 023;686;3 439
2021;14 510;443;920;2 845;2 232;838;1 956;1 068;679;3 529
2022;13 997;450;921;2 798;2 121;840;1 905;982;651;3 329
2023;14 721;460;1 031;2 847;2 332;877;1 902;1 109;723;3 440
