Jahr;Österreich;Burgenland;Kärnten;Niederösterreich;Oberösterreich;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
1995;38,29;26,94;34,93;38,69;31,36;33,83;33,47;28,01;39,67;52,95
1996;38,30;28,41;35,42;38,43;32,61;35,08;35,92;29,36;39,27;49,74
1997;38,55;29,95;34,00;38,80;33,61;33,88;36,28;32,08;42,03;48,77
1998;38,59;25,35;33,75;39,83;32,12;36,06;35,55;31,98;41,39;49,86
1999;40,45;31,51;37,40;41,56;32,04;36,34;37,14;32,02;42,79;53,63
2000;43,09;37,64;36,08;44,98;35,30;40,20;38,78;34,86;44,28;56,20
2001;45,97;41,42;40,96;48,18;37,51;39,82;41,42;37,30;52,01;59,01
2002;45,18;39,10;41,15;48,16;37,99;40,07;42,70;36,94;45,17;55,66
2003;43,97;36,29;38,31;46,16;38,10;45,11;38,63;36,60;46,60;53,97
2004;46,05;39,43;36,47;46,58;40,19;41,70;42,16;36,73;42,98;60,08
2005;46,38;42,03;37,46;45,56;38,56;40,45;41,74;33,75;42,79;63,31
2006;48,86;46,51;41,54;48,22;39,50;43,36;41,93;37,55;46,15;65,85
2007;49,47;39,84;41,71;48,27;41,11;45,07;47,53;37,86;46,77;64,15
2008;47,76;43,32;43,61;49,37;39,73;41,61;44,45;37,43;47,78;59,45
2009;45,98;42,79;42,28;48,34;39,89;41,75;44,03;38,01;47,36;53,81
2010;43,00;41,84;39,30;46,63;36,71;38,82;39,89;37,80;47,23;49,38
2011;43,02;41,14;40,12;46,50;37,06;37,44;41,28;37,65;43,32;49,77
2012;42,51;43,88;39,51;45,04;38,22;39,00;38,91;36,15;42,32;49,58
2013;40,14;41,13;35,16;43,21;35,84;38,01;37,39;34,45;41,03;46,37
2014;42,14;41,22;40,25;43,88;37,94;35,55;39,64;35,85;41,03;50,44
2015;41,60;43,06;37,87;47,27;36,30;37,15;37,95;36,43;39,72;47,77
2016;40,45;44,57;36,83;43,42;35,77;36,88;36,64;37,53;38,88;47,15
2017;40,98;44,03;38,71;43,41;38,27;37,22;36,29;35,51;42,40;47,35
2018;40,99;41,20;38,60;44,49;37,12;36,49;38,16;36,24;41,90;46,66
2019;40,68;42,91;41,23;44,37;37,80;38,32;37,33;34,93;42,94;44,14
2020;36,87;39,19;38,32;40,80;34,02;35,65;35,62;31,25;38,92;38,31
2021;35,76;36,62;36,63;37,58;32,46;32,61;34,42;32,28;38,19;39,38
2022;34,53;37,15;36,91;37,01;30,92;32,54;33,55;29,43;35,97;37,32
2023;36,08;37,74;41,32;37,45;33,47;33,74;33,34;32,84;39,11;38,65
