Jahr;Bundesland;gesamt;Jänner;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Population
2005;Österreich;19 453;1 304;1 406;1 662;1 632;1 547;1 765;1 686;1 471;1 743;1 686;1 759;1 792;8225278
2005;Burgenland         ;558;31;33;52;47;48;53;56;48;48;50;54;38;278466
2005;Kärnten            ;998;49;55;73;62;91;97;97;82;93;94;96;109;559093
2005;Niederösterreich   ;3 652;265;268;320;319;293;343;326;254;333;281;327;323;1574536
2005;Oberösterreich     ;2 665;172;176;253;205;205;237;256;193;240;234;227;267;1397572
2005;Salzburg           ;1 057;68;74;97;93;93;85;83;90;100;93;95;86;523356
2005;Steiermark         ;2 516;185;166;206;204;219;214;222;213;224;229;207;227;1198543
2005;Tirol              ;1 127;74;63;92;97;76;97;76;111;119;76;115;131;690668
2005;Vorarlberg         ;769;46;54;83;79;47;64;78;65;50;70;70;63;361391
2005;Wien               ;6 111;414;517;486;526;475;575;492;415;536;559;568;548;1641653
2006;Österreich;20 336;1 526;1 512;1 920;1 567;1 821;1 759;1 680;1 384;1 738;1 851;1 856;1 722;8267948
2006;Burgenland         ;605;42;56;58;43;54;41;39;56;48;52;65;51;279590
2006;Kärnten            ;1 111;82;66;124;72;92;96;96;94;70;112;97;110;559453
2006;Niederösterreich   ;3 827;258;249;395;306;342;339;329;253;313;341;371;331;1584525
2006;Oberösterreich     ;2 707;193;231;251;221;214;217;235;168;245;245;252;235;1402281
2006;Salzburg           ;1 105;85;80;83;75;86;92;91;76;112;119;95;111;525300
2006;Steiermark         ;2 490;240;223;185;185;245;209;200;168;226;178;234;197;1201495
2006;Tirol              ;1 237;103;97;100;95;104;92;120;86;85;126;114;115;695296
2006;Vorarlberg         ;808;54;37;71;51;84;84;82;58;69;75;57;86;363389
2006;Wien               ;6 446;469;473;653;519;600;589;488;425;570;603;571;486;1656619
2007;Österreich;20 516;1 727;1 641;1 979;1 671;1 829;1 653;1 737;1 336;1 583;1 934;1 854;1 572;8295189
2007;Burgenland         ;513;44;36;40;44;54;37;65;32;33;55;42;31;280469
2007;Kärnten            ;1 089;87;108;113;81;98;71;95;91;63;105;108;69;559829
2007;Niederösterreich   ;3 798;298;263;386;307;339;322;320;237;298;356;359;313;1592500
2007;Oberösterreich     ;2 801;246;244;255;234;235;205;244;193;212;273;238;222;1405127
2007;Salzburg           ;1 148;94;115;111;74;84;72;101;67;99;119;101;111;525826
2007;Steiermark         ;2 822;258;273;256;245;237;238;212;195;232;266;205;205;1203132
2007;Tirol              ;1 237;94;77;124;105;115;113;111;108;100;89;114;87;697863
2007;Vorarlberg         ;812;62;54;82;68;94;66;70;56;56;58;85;61;364985
2007;Wien               ;6 296;544;471;612;513;573;529;519;357;490;613;602;473;1665458
2008;Österreich;19 701;1 634;1 684;1 719;1 787;1 576;1 733;1 693;1 172;1 636;1 794;1 612;1 661;8321541
2008;Burgenland         ;556;47;45;56;42;52;54;44;27;42;57;40;50;281891
2008;Kärnten            ;1 136;90;89;109;89;98;106;82;89;96;101;95;92;559723
2008;Niederösterreich   ;3 863;317;311;316;393;298;335;308;227;345;321;320;372;1599645
2008;Oberösterreich     ;2 678;198;243;228;224;233;241;212;166;216;252;229;236;1407809
2008;Salzburg           ;1 055;75;98;75;103;87;83;96;63;87;107;89;92;526315
2008;Steiermark         ;2 616;225;213;260;236;188;217;246;160;214;214;227;216;1204262
2008;Tirol              ;1 223;125;79;103;107;103;134;99;76;91;100;100;106;700562
2008;Vorarlberg         ;822;68;72;68;71;77;71;71;69;52;67;63;73;366397
2008;Wien               ;5 752;489;534;504;522;440;492;535;295;493;575;449;424;1674937
2009;Österreich;18 806;1 343;1 437;1 787;1 670;1 535;1 574;1 729;1 192;1 606;1 706;1 704;1 523;8341483
2009;Burgenland         ;539;40;33;44;40;38;54;57;40;42;56;58;37;283210
2009;Kärnten            ;1 080;78;73;94;94;84;81;98;83;103;105;92;95;558813
2009;Niederösterreich   ;3 736;244;279;364;327;333;289;378;212;331;323;347;309;1604581
2009;Oberösterreich     ;2 667;176;183;259;240;226;209;255;181;226;253;251;208;1409126
2009;Salzburg           ;1 053;67;63;98;108;92;75;92;81;86;73;105;113;526518
2009;Steiermark         ;2 580;194;233;238;214;169;231;235;192;200;227;237;210;1204630
2009;Tirol              ;1 234;76;100;106;113;93;129;128;69;98;99;104;119;702717
